,Name of user,Competition Name,Label,Ranking
348,178,SSGK Maestro Olympiad,0,0.33333333333333326
349,178,Global Business Model Competition 2017,0,0.01451798467629973
350,178,National Geography Olympiad 2017,0,-0.07902630636744479
351,178,NATS Talent Search,0,0.4244674980518635
352,178,JIFF ISC Script Contest,0,0.0
353,178,Maay Marathi Film Competition 2017,0,0.08343408130545475
354,178,Project Innovation Contest,0,0.004353137138816468
355,178,Dream Build Play 2017 Challenge,1,0.6514640401392158
356,178,Photography Competition 2017,0,0.44397070476203865
357,178,Asia Young Designer Award Contest,0,0.3959726312989838
358,178,GYTI Innovation Awards,0,0.0
359,178,Haryana Vigyan / Yuva Vigyan Ratna Awards 2017-18,0,0.05680626361902225
360,178,Dr. A P J Abdul Kalam National Legal Essay Competition 2017,0,0.08053050910560004
361,178,1st Justice P N Bhagwati Research Paper Writing Competition 2017,0,0.05010310808361288
362,178,Best International Future Lawyer Award 2017,0,0.0
363,178,Archasm Architecture Competition 2017,0,0.03254239300756031
364,178,4th National Essay Writing Competition 2018,0,0.08796500908668263
365,178,India?s Storytellers/ Script Contest 2017-2018,0,0.4243530348184118
366,178,Third National Essay Competition on Water 2017-18,0,0.05573375168878562
367,178,Soul of Bengaluru Photo Contest 2017,0,-0.007740470051578456
368,178,1st International Article Writing Competition 2017,0,0.11098645821858791
369,178,"Combating Corruption, Battling Black Money Competition 2017",0,0.056701644780612875
370,178,Solar Chulha Innovation Challenge 2017,0,0.021143311901899203
371,203,KTH Master's Challenge (Full Scholarship + Monthly Stipend),0,0.0
372,203,Marksman Call For Articles- November 2017,0,0.4999999999999999
373,203,Convergence 2017,0,0.4999999999999999
374,203,Prarambh 2018,0,0.0
375,203,Click India Photography Competition - Shot 3,0,0.44397070476203865
376,203,NEC IIT Bombay Presents The Entrepreneurship Quiz Challenge,0,0.0
377,203,Battleground 8.0,0,0.01379876244479517
378,203,ShopFloor,0,0.0
379,203,CrackItUp,0,0.0
380,203,NEC IIT Bombay Presents CodeSprint,0,0.0
381,203,Kamaal Dhamaal Bemisaal,0,0.0
382,203,Brainy Awards,0,0.0
383,203,Inquizito - Tickle Your Grey Cells,0,0.0
384,203,Finathon - Time To Trade!,0,0.0
385,203,Yalgaar - Time For Halla Bol!,0,0.0
386,203,IntellOps- Article Writing Competition By OpCellence,0,0.0
387,203,BIOCON PRESENTS SHOT OF LIFE,0,0.0
388,203,NEC IIT Bombay Presents Empresario,0,0.0
389,203,Rural Le Carte,0,0.0
390,203,The Fast Pay Story,0,0.0
391,203,"FINAcumen, IIM Nagpur",0,0.0
392,203,NEC IIT Bombay Presents Hashtrix,0,0.0
393,203,NEC IIT Bomaby Presents HackStack,0,0.0
394,203,Asia Pacific International Conference,0,0.0
395,203,Interview Question Of Year 2017,0,0.0
396,203,The Great Analytics Quiz,0,0.0
397,203,"Paper Presentation On ""  Effect Of App Based Learning In School Education (K-12)""",0,0.0
398,203,KDP Pen To Publish Contest,0,0.4355104508253181
399,203,Banjara International Film Festival 2017,0,0.017429593118675805
400,203,Spanish Guitar Competition 2017,0,0.35718387598134593
401,203,SSGK Maestro Olympiad,0,0.33333333333333326
402,203,Global Business Model Competition 2017,0,0.01451798467629973
403,203,National Geography Olympiad 2017,0,-0.07902630636744479
404,203,NATS Talent Search,0,0.4244674980518635
405,203,JIFF ISC Script Contest,0,0.0
406,203,Maay Marathi Film Competition 2017,0,0.08343408130545475
407,203,Project Innovation Contest,0,0.004353137138816468
408,203,Dream Build Play 2017 Challenge,1,0.6514640401392158
409,203,Photography Competition 2017,0,0.44397070476203865
410,203,Asia Young Designer Award Contest,0,0.3959726312989838
411,203,GYTI Innovation Awards,0,0.0
412,203,Haryana Vigyan / Yuva Vigyan Ratna Awards 2017-18,0,0.05680626361902225
413,203,Dr. A P J Abdul Kalam National Legal Essay Competition 2017,0,0.08053050910560004
414,203,1st Justice P N Bhagwati Research Paper Writing Competition 2017,0,0.05010310808361288
415,203,Best International Future Lawyer Award 2017,0,0.0
416,203,Archasm Architecture Competition 2017,0,0.03254239300756031
417,203,4th National Essay Writing Competition 2018,0,0.08796500908668263
418,203,India?s Storytellers/ Script Contest 2017-2018,0,0.4243530348184118
419,203,Third National Essay Competition on Water 2017-18,0,0.05573375168878562
420,203,Soul of Bengaluru Photo Contest 2017,0,-0.007740470051578456
421,203,1st International Article Writing Competition 2017,0,0.11098645821858791
422,203,"Combating Corruption, Battling Black Money Competition 2017",0,0.056701644780612875
423,203,Solar Chulha Innovation Challenge 2017,0,0.021143311901899203
424,344,KTH Master's Challenge (Full Scholarship + Monthly Stipend),0,0.0
425,344,Marksman Call For Articles- November 2017,0,0.4999999999999999
426,344,Convergence 2017,0,0.4999999999999999
427,344,Prarambh 2018,0,0.0
428,344,Click India Photography Competition - Shot 3,0,0.44397070476203865
429,344,NEC IIT Bombay Presents The Entrepreneurship Quiz Challenge,0,0.0
430,344,Battleground 8.0,0,0.01379876244479517
431,344,ShopFloor,0,0.0
432,344,CrackItUp,0,0.0
433,344,NEC IIT Bombay Presents CodeSprint,0,0.0
434,344,Kamaal Dhamaal Bemisaal,0,0.0
435,344,Brainy Awards,0,0.0
436,344,Inquizito - Tickle Your Grey Cells,0,0.0
437,344,Finathon - Time To Trade!,0,0.0
438,344,Yalgaar - Time For Halla Bol!,0,0.0
439,344,IntellOps- Article Writing Competition By OpCellence,0,0.0
440,344,BIOCON PRESENTS SHOT OF LIFE,0,0.0
441,344,NEC IIT Bombay Presents Empresario,0,0.0
442,344,Rural Le Carte,0,0.0
443,344,The Fast Pay Story,0,0.0
444,344,"FINAcumen, IIM Nagpur",0,0.0
445,344,NEC IIT Bombay Presents Hashtrix,0,0.0
446,344,NEC IIT Bomaby Presents HackStack,0,0.0
447,344,Asia Pacific International Conference,0,0.0
448,344,Interview Question Of Year 2017,0,0.0
449,344,The Great Analytics Quiz,0,0.0
450,344,"Paper Presentation On ""  Effect Of App Based Learning In School Education (K-12)""",0,0.0
451,344,KDP Pen To Publish Contest,0,0.4355104508253181
452,344,Banjara International Film Festival 2017,0,0.017429593118675805
453,344,Spanish Guitar Competition 2017,0,0.35718387598134593
454,344,SSGK Maestro Olympiad,0,0.33333333333333326
455,344,Global Business Model Competition 2017,0,0.01451798467629973
456,344,National Geography Olympiad 2017,0,-0.07902630636744479
457,344,NATS Talent Search,0,0.4244674980518635
458,344,JIFF ISC Script Contest,0,0.0
459,344,Maay Marathi Film Competition 2017,0,0.08343408130545475
460,344,Project Innovation Contest,0,0.004353137138816468
461,344,Dream Build Play 2017 Challenge,1,0.6514640401392158
462,344,Photography Competition 2017,0,0.44397070476203865
463,344,Asia Young Designer Award Contest,0,0.3959726312989838
464,344,GYTI Innovation Awards,0,0.0
465,344,Haryana Vigyan / Yuva Vigyan Ratna Awards 2017-18,0,0.05680626361902225
466,344,Dr. A P J Abdul Kalam National Legal Essay Competition 2017,0,0.08053050910560004
467,344,1st Justice P N Bhagwati Research Paper Writing Competition 2017,0,0.05010310808361288
